x,y,z,c1,c2,c3,gradeblock_id
441.084,897.95,8.9575,0.926226,0.0420577,0.0317161,2118
436.854,891.74,9.012,0.931994,0.0392361,0.0287702,2118
432.714,885.63,8.928,0.888459,0.0769275,0.034613,2118
428.554,879.58,9.1495,0.875467,0.0968593,0.0276741,2118
431.654,872.84,8.9745,0.914083,0.0519132,0.0340035,2118
435.784,878.76,8.9635,0.837467,0.128629,0.0339043,2118
440.054,885.05,8.988,0.828722,0.144375,0.026903,2118
444.264,891.13,9.098,0.840573,0.127761,0.031666,2118
448.574,897.27,8.9895,0.773269,0.199936,0.026795,2118
451.744,890.46,9.363,0.846587,0.124415,0.0289979,2118
447.494,884.55,9.2485,0.811658,0.160467,0.0278749,2118
443.294,878.21,9.366,0.905464,0.0611602,0.0333759,2118
438.974,872.27,9.2405,0.880206,0.0683525,0.0514415,2118
434.994,866.26,9.145,0.925696,0.0408503,0.0334535,2118
437.954,859.55,9.154,0.901134,0.0543057,0.04456,2118
442.224,865.59,9.314,0.91031,0.050764,0.0389263,2118
446.544,871.62,9.3365,0.901223,0.0635059,0.0352714,2118
450.684,877.84,9.269,0.894486,0.08039,0.0251237,2118
454.764,883.89,9.2985,0.880472,0.0904688,0.0290592,2118
458.974,890.09,9.1625,0.862129,0.110772,0.027099,2118
466.484,889.35,8.9595,0.883275,0.089631,0.0270941,2118
462.374,883.27,9.1285,0.836503,0.132991,0.0305066,2118
458.094,877.37,9.1765,0.773806,0.198397,0.0277974,2118
453.754,871.01,9.146,0.918289,0.0474103,0.0343008,2118
449.594,865,9.1645,0.910375,0.047714,0.0419109,2118
445.424,858.94,9.243,0.911176,0.047547,0.0412769,2118
448.504,852.16,9.0195,0.885049,0.0616802,0.0532706,2118
452.784,858.36,9.136,0.918244,0.0466003,0.0351557,2118
457.094,864.44,9.124,0.92008,0.0453069,0.0346129,2118
461.244,870.5,9.093,0.906266,0.0532465,0.0404871,2118
465.424,876.66,9.1125,0.834221,0.114202,0.0515771,2118
469.624,882.83,8.9225,0.891656,0.0677912,0.0405529,2118
473.854,888.74,8.9975,0.880152,0.083642,0.0362063,2118
477.984,894.8,8.8875,0.84378,0.133911,0.0223091,2118
485.284,894.43,8.5455,0.889259,0.0781622,0.0325784,2118
481.094,888.32,8.9145,0.792666,0.167163,0.0401704,2118
475.744,883.17,8.9705,0.869399,0.0932656,0.037335,2118
470.934,877.63,9.0775,0.901048,0.0650285,0.0339235,2118
466.134,871.82,9.085,0.839011,0.117184,0.0438053,2118
461.374,866.05,9.056,0.910214,0.0502312,0.0395549,2118
425.334,954.74,10.0845,0.509525,0.459032,0.0314426,2084
411.864,945.27,9.8295,0.509525,0.459032,0.0314426,2084
401.534,934.46,9.9385,0.509525,0.459032,0.0314426,2084
392.031,921.36,9.378,0.509525,0.459032,0.0314426,2084
383.917,911.02,9.519,0.509525,0.459032,0.0314426,2084
371.19,901.32,9.5265,0.509525,0.459032,0.0314426,2084
373.774,890.28,9.076,0.501655,0.470538,0.0278068,2084
426.164,943.96,8.924,0.663854,0.314659,0.021487,2084
413.594,925.77,9.0975,0.644155,0.337511,0.0183339,2084
401.024,907.39,8.868,0.665473,0.316468,0.0180591,2084
388.424,889.18,8.991,0.590455,0.381275,0.0282697,2084
377.654,873.49,8.8395,0.484498,0.501233,0.0142689,2084
443.944,946.05,9.325,0.498509,0.487694,0.0137969,2084
432.574,930.7,8.992,0.527743,0.438274,0.0339831,2084
419.954,912.39,8.9925,0.647452,0.330119,0.0224288,2084
407.324,894.07,8.932,0.522219,0.459025,0.0187567,2084
394.814,875.77,8.9805,0.525653,0.44117,0.0331775,2084
434.754,911.19,9.261,0.637357,0.342821,0.0198216,2084
422.144,892.88,8.8825,0.541869,0.439878,0.0182532,2084
409.624,874.6,9.1125,0.526665,0.453357,0.0199779,2084
396.984,856.32,8.8835,0.526665,0.453357,0.0199779,2084
424.284,873.42,9.0505,0.896428,0.0668924,0.0366796,2084
420.094,867.42,9.1115,0.735094,0.22959,0.0353162,2084
415.874,861.24,9.1475,0.712375,0.264766,0.0228587,2084
411.684,855.16,8.9375,0.68803,0.282886,0.029084,2084
407.524,849.1,9.0055,0.724048,0.24328,0.0326717,2084
414.954,848.51,8.885,0.883712,0.0758955,0.040393,2084
419.044,854.58,9.011,0.651059,0.329024,0.0199175,2084
