gradeblock_id,name,boundary
2118,H233,"POLYGON ((422.326852 880.9729, 426.153277 885.083168, 427.858103 886.914457, 434.210176 893.737724, 437.475207 897.244955, 438.920561 898.797525, 438.966636 899.094812, 441.323378 898.698431, 458.812714 895.756898, 458.86521 895.748068, 467.316334 894.326673, 468.867293 894.065817, 483.198404 895.952351, 491.86363 897.093034, 492.439775 897.168877, 486.328568 890.249461, 472.55876 874.658591, 458.788951 859.067721, 446.680395 845.357805, 444.204646 848.978389, 438.152169 857.829648, 422.326852 880.9729))"
2084,R49,"POLYGON ((355.31884 898.935713, 359.181387 900.327544, 362.327772 902.202683, 376.279467 911.961652, 383.890965 918.772467, 389.284816 928.2693410000001, 394.441684 934.78022, 399.598553 941.291098, 404.755421 947.801976, 408.308585 955.593222, 411.861748 963.384467, 415.414912 971.175713, 427.436523 965.364149, 439.458133 959.552585, 447.717653 955.559715, 447.354525 953.216672, 447.279581 952.733108, 447.21613 952.323695, 442.362438 921.005827, 439.162904 900.361208, 438.966636 899.094812, 438.920561 898.797525, 437.475207 897.244955, 434.210176 893.737724, 427.858103 886.914457, 426.153277 885.083168, 422.326852 880.9729, 438.152169 857.829648, 444.204646 848.978389, 446.680395 845.357805, 445.019143 843.476851, 431.249335 827.885981, 422.34893 826.875265, 413.448525 825.86455, 409.966475 825.4790369999999, 408.832858 825.353529, 398.130057 840.070007, 387.427256 854.786484, 376.724454 869.502961, 366.021653 884.219439, 355.31884 898.935713))"
2085,R50,"POLYGON ((438.966636 899.094812, 439.162904 900.361208, 442.362438 921.005827, 447.21613 952.323695, 447.279581 952.733108, 447.354525 953.216672, 447.717653 955.559715, 451.479744 953.741021, 457.726333 962.81942, 464.150667 972.157086, 470.575 981.4947529999999, 483.753 984.023153, 496.931 986.551553, 510.109 989.079953, 523.287 991.608353, 536.465 994.136753, 544.2905 990.303253, 552.116 986.469753, 568.947584 983.794157, 555.177608 968.203812, 541.4078 952.612942, 527.6379920000001 937.022072, 513.868184 921.431202, 500.098376 905.840331, 492.439775 897.168877, 491.86363 897.093034, 483.198404 895.952351, 468.867293 894.065817, 467.316334 894.326673, 458.86521 895.748068, 458.812714 895.756898, 441.323378 898.698431, 438.966636 899.094812))"
2,H1,"POLYGON ((515.238022 615.186646, 517.026871 616.815471, 528.599561 627.352908, 540.172251 637.890346, 551.74494 648.427783, 569.960092 628.42311, 565.547288 622.92962, 561.52383 617.920825, 557.840368 613.335291, 557.0174459999999 612.310836, 554.455552 609.12154, 550.232996 603.8648889999999, 537.09825 608.114311, 526.268716 611.617938, 515.238022 615.186646))"
3,H2,"POLYGON ((550.232996 603.8648889999999, 554.455552 609.12154, 557.840368 613.335291, 561.52383 617.920825, 563.8018949999999 620.756784, 565.547288 622.92962, 569.960092 628.42311, 585.874899 610.944777, 596.98394 607.403546, 608.092981 603.862314, 619.2020220000001 600.321083, 628.757233 597.275166, 628.757233 597.275166, 620.165931 590.678241, 618.292256 589.239519, 617.528678 588.653198, 611.517825 584.0377, 608.670705 584.958815, 599.63091 587.883417, 595.547877 589.204381, 593.897474 589.738328, 584.523635 592.771002, 582.894454 593.298083, 577.936373 594.902147, 575.76806 595.603651, 571.424304 597.008966, 570.6612730000001 597.255826, 550.232996 603.8648889999999))"
4,H3,"POLYGON ((495.975122 597.646937, 505.454182 606.2780330000001, 515.238022 615.186646, 515.238022 615.186646, 537.09825 608.114311, 538.250856 607.741414, 550.232996 603.8648889999999, 540.318205 591.521985, 535.360809 585.350533, 508.467311 593.746815, 505.229506 594.757674, 495.975122 597.646937))"
5,H4,"POLYGON ((535.360809 585.350533, 543.196749 582.904114, 553.471954 579.696145, 563.27232 576.636423, 568.144988 575.115152, 579.238481 571.651709, 582.869086 570.518217, 590.142579 568.247397, 590.21239 568.225601, 590.346452 568.250326, 591.1508239999999 568.398677, 594.060395 570.632823, 594.083851 570.650834, 601.224205 576.133632, 608.763492 581.9227550000001, 611.517825 584.0377, 608.670705 584.958815, 602.76285 586.870156, 599.63091 587.883417, 595.547877 589.204381, 593.897474 589.738328, 584.523635 592.771002, 582.894454 593.298083, 577.936373 594.902147, 575.76806 595.603651, 571.424304 597.008966, 550.232996 603.8648889999999, 548.108398 601.219981, 535.360809 585.350533))"
6,H5,"POLYGON ((477.085385 580.44701, 480.857243 579.302127, 483.45965 578.512212, 491.009175 576.220683, 491.646304 576.027294, 497.283907 574.316097, 504.78643 572.0388349999999, 520.770538 567.187134, 525.633961 573.2416009999999, 535.360809 585.350533, 521.9140599999999 589.548674, 505.229506 594.757674, 495.975122 597.646937, 493.881492 595.740596, 482.308802 585.203158, 477.085385 580.44701))"
7,H6,"POLYGON ((520.770538 567.187134, 524.215978 566.14133, 535.777497 562.63203, 544.8886230000001 559.866505, 546.190335 560.10658, 553.238761 561.406527, 554.0006059999999 561.5470340000001, 559.173718 562.501115, 562.177172 563.055045, 578.288401 566.026451, 582.594157 566.820565, 590.136319 568.211571, 590.21239 568.225601, 590.142579 568.247397, 582.869086 570.518217, 582.37645 570.67202, 579.238481 571.651709, 568.144988 575.115152, 563.27232 576.636423, 553.471954 579.696145, 535.360809 585.350533, 533.276484 582.755762, 520.770538 567.187134))"
8,H7,"POLYGON ((459.163423 564.128284, 464.95537 557.749193, 471.145347 557.811447, 475.346213 556.898099, 487.757955 549.329852, 487.757955 549.329852, 487.757955 549.329852, 487.757955 549.329852, 488.637616 549.492089, 500.867976 551.747743, 504.403419 552.3997879999999, 506.145901 552.721155, 530.07723 557.134828, 544.8886230000001 559.866505, 536.849261 562.3067140000001, 535.777497 562.63203, 520.770538 567.187134, 505.889857 571.703909, 504.78643 572.0388349999999, 497.283907 574.316097, 491.646304 576.027294, 483.45965 578.512212, 480.857243 579.302127, 477.085385 580.44701, 470.736112 574.665721, 459.163423 564.128284))"
