x,y,z,c1,c2,c3,gradeblock_id
4.411,39.126767,5,0.607178822,0.203405756,0.189415422,2
5.221,30.056767,5.0565,0.677830043,0.178839122,0.143330835,2
10.491,24.076767,4.987,0.390074994,0.325604285,0.284320721,2
18.44,18.831767,4.927,0.655264062,0.16515007,0.179585868,2
25.741,13.766767,4.9685,0.491243661,0.494133232,0.014623107,2
32.371,7.536767,5.108,0.455297308,0.53126771,0.013434982,2
10.161,29.156767,4.189,0.680796065,0.173448726,0.145755209,2
8.541,35.476767,4.151,0.682752399,0.165890104,0.151357498,2
14.871,31.376767,4.168,0.795002313,0.090871951,0.114125736,2
16.121,25.526767,4.161,0.573770606,0.221276407,0.204952988,2
22.58,21.096767,4.191,0.913074161,0.043204142,0.043721697,2
21.461,27.196767,4.198,0.902617424,0.049473294,0.047909283,2
42,38.266767,4.2285,0.892097347,0.047422582,0.060480071,1
35.481,50.156767,4.214,0.883281435,0.064933726,0.05178484,1
21.612,34.996767,4.247,0.896017842,0.054199049,0.049783109,1
49.282,57.636767,4.2375,0.928633618,0.037680035,0.033686347,1
28,23.066767,4.254,0.490621262,0.49409434,0.015284398,2
28.852,16.656767,4.2415,0.866261437,0.111816677,0.021921885,2
34.442,11.176767,4.307,0.449800146,0.53530141,0.014898444,2
34.641,19.026767,4.2605,0.579708099,0.397855282,0.022436619,2
55.522,37.936767,4.2435,0.886401234,0.061648978,0.051949789,1
28.75,46.516767,4.278,0.901506218,0.054570098,0.043923684,1
41.83,30.526767,4.234,0.889320968,0.060897683,0.049781349,1
28.5,38.736767,4.2875,0.909549944,0.047416454,0.043033602,1
21.862,42.866767,4.268,0.917336121,0.04473524,0.037928639,1
42.461,53.936767,4.184,0.946830446,0.029008076,0.024161478,1
41.612,22.766767,4.261,0.772587057,0.202009205,0.025403738,2
41.291,14.856767,4.3155,0.479600399,0.505681869,0.014717732,2
41.151,7.136767,4.378,0.440135531,0.54832043,0.011544038,2
48.032,10.756767,4.3065,0.448674712,0.53982718,0.011498108,2
48.282,18.626767,4.2875,0.483973964,0.500659661,0.015366374,2
48.43,26.476767,4.2595,0.654513013,0.325353432,0.020133556,2
34.942,26.856767,4.246,0.929696749,0.040777803,0.029525448,1
48.67,34.216767,4.229,0.794785998,0.115090814,0.090123189,1
35.42,42.476767,4.2615,0.861223358,0.066457547,0.072319095,1
49.121,49.856767,4.271,0.869774426,0.055079868,0.075145706,1
48.852,42.036767,4.2555,0.863432795,0.060004268,0.076562937,1
55.33,30.146767,4.205,0.814379791,0.142805364,0.042814845,2
55.161,22.406767,4.207,0.436012444,0.551627466,0.01236009,2
54.871,14.516767,4.257,0.445987376,0.540206319,0.013806305,2
